Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.24418798559416283,0.7640103907345843,1.0,0.9318181818181818,200,22,CD44;DKK1;LUM;COL3A1;SAT1;CRLF1;CYR61;FN1;GAS1;LAMA1;SFRP1;GJA1;FZD8;SPARC;CTGF;COL5A1;TGM2;FAS;ECM1;ACTA2;ANPEP;GLIPR1,CD44;DKK1;LUM;COL3A1;SAT1;CRLF1
HALLMARK_HYPOXIA,-0.17582098049735323,-0.47660271587009084,1.0,0.9821428571428571,200,22,PCK1;CXCR4;ADORA2B;CYR61;CA12;B3GALT6;KDELR3;NDRG1;CHST2;ALDOC;MAFF;MIF;CTGF;SLC37A4;COL5A1;TGM2;PDK1;PHKG1;LDHC;TKTL1;BCAN;EDN2,EDN2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5614198782412062,1.1125215450382808,0.5,1.0,200,21,CCL20;EGR3;FOSB;CXCL2;CD44;LAMB3;SAT1;ICAM1;DUSP4;FJX1;DUSP5;IL15RA;JUNB;CYR61;IFIH1;HES1;SLC2A6;MAFF;PLK2;CLCF1;LIF,CCL20;EGR3;FOSB;CXCL2;CD44;LAMB3;SAT1;ICAM1;DUSP4;FJX1;DUSP5;IL15RA;JUNB;CYR61;IFIH1
HALLMARK_P53_PATHWAY,-0.24776483057365487,-0.7701876623075173,0.5555555555555556,1.0,200,14,SAT1;PROCR;VDR;NDRG1;ZBTB16;NHLH2;SESN1;PLK3;RPS27L;FAS;PLK2;TRAFD1;GLS2;LIF,RPS27L;FAS;PLK2;TRAFD1;GLS2;LIF
HALLMARK_COMPLEMENT,0.32147498381786904,0.8306515908759521,0.6666666666666666,1.0,200,11,HSPA1A;CSRP1;CA2;CDA;DUSP5;FN1;APOC1;MAFF;USP15;F8;ITIH1,HSPA1A;CSRP1;CA2;CDA;DUSP5
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.4300453055120677,0.9685210883551687,0.6666666666666666,1.0,200,10,EGR3;CD44;CA12;NPY1R;HES1;GJA1;DHCR7;TGM2;GAB2;SYT12,EGR3;CD44;CA12;NPY1R;HES1;GJA1;DHCR7
HALLMARK_KRAS_SIGNALING_DN,-0.38116978258561596,-0.8383888873741424,0.75,1.0,200,12,SNCB;ZBTB16;CHST2;COL2A1;RIBC2;PAX3;C5;SKIL;CYP39A1;FGGY;GPR19;EDN2,C5;SKIL;CYP39A1;FGGY;GPR19;EDN2
HALLMARK_GLYCOLYSIS,0.35384310166548405,0.8984832181351484,0.8333333333333334,1.0,200,12,CD44;CXCR4;ADORA2B;B3GALT6;KDELR3;CHST2;MIF;CYB5A;SLC37A4;COL5A1;LDHC;TKTL1,CD44;CXCR4;ADORA2B;B3GALT6;KDELR3;CHST2;MIF;CYB5A;SLC37A4;COL5A1
HALLMARK_IL2_STAT5_SIGNALING,0.2601404664438398,0.7748321610011971,1.0,1.0,200,10,ETV4;CD44;CA2;IL18R1;NDRG1;MAFF;TGM2;ECM1;CAPN3;LIF,ETV4;CD44
HALLMARK_KRAS_SIGNALING_UP,0.31848271762235963,0.860952165407093,1.0,1.0,200,16,CCL20;ETV5;ETV4;CA2;PCSK1N;CXCR4;TMEM158;IGF2;MMP11;GUCY1A3;RBM4;SNAP91;LAT2;LCP1;LIF;KCNN4,CCL20;ETV5;ETV4
