Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_KRAS_SIGNALING_DN,-0.39004055285486716,-1.7857628479989671,0.0,0.29268292682926833,200,12,ZBTB16;SNCB;CHST2;COL2A1;PAX3;SKIL;RIBC2;CYP39A1;FGGY;C5;GPR19;EDN2,EDN2
HALLMARK_IL2_STAT5_SIGNALING,0.8388474714236994,1.4018437482807695,0.14285714285714285,0.35593220338983056,200,10,ECM1;IL18R1;TGM2;MAFF;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,ECM1
HALLMARK_GLYCOLYSIS,0.4620715379435181,1.0818667645634121,0.2,0.4033898305084746,200,12,CHST2;CXCR4;ADORA2B;COL5A1;B3GALT6;KDELR3;SLC37A4;CYB5A;MIF;LDHC;TKTL1;CD44,CHST2;CXCR4;ADORA2B;COL5A1;B3GALT6;KDELR3;SLC37A4;CYB5A;MIF
HALLMARK_COMPLEMENT,0.5136356611138537,1.1017133751098298,0.2857142857142857,0.5042372881355933,200,11,ITIH1;HSPA1A;CDA;DUSP5;MAFF;FN1;CA2;APOC1;USP15;F8;CSRP1,ITIH1;HSPA1A;CDA;DUSP5;MAFF;FN1;CA2;APOC1;USP15
HALLMARK_P53_PATHWAY,0.28368799709875636,1.1840060025364845,0.0,0.632768361581921,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;RPS27L;SESN1;TRAFD1;PLK2;PLK3;FAS;LIF;GLS2;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;RPS27L;SESN1;TRAFD1;PLK2;PLK3;FAS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6802405616878167,1.44968088527098,0.0,0.7118644067796611,200,22,ECM1;GLIPR1;DKK1;TGM2;LAMA1;FZD8;CTGF;CRLF1;SPARC;GAS1;COL5A1;CYR61;SAT1;FN1;GJA1;FAS;ACTA2;COL3A1;CD44;LUM;SFRP1;ANPEP,ECM1;GLIPR1
HALLMARK_KRAS_SIGNALING_UP,-0.22703435757481888,-0.6379656896682484,0.3333333333333333,0.7317073170731707,200,16,ETV5;MMP11;GUCY1A3;CXCR4;TMEM158;IGF2;PCSK1N;CA2;RBM4;SNAP91;LAT2;LCP1;LIF;CCL20;KCNN4;ETV4,KCNN4;ETV4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3581303755513378,0.9270098726998116,0.75,0.8107344632768363,200,21,DUSP4;FOSB;SLC2A6;DUSP5;IL15RA;FJX1;MAFF;CYR61;SAT1;JUNB;HES1;PLK2;LIF;LAMB3;IFIH1;CCL20;ICAM1;CXCL2;CD44;CLCF1;EGR3,DUSP4;FOSB;SLC2A6;DUSP5;IL15RA;FJX1;MAFF;CYR61;SAT1;JUNB;HES1
HALLMARK_HYPOXIA,0.25094847875426285,0.5509287982572143,0.75,0.8813559322033898,200,22,CA12;TGM2;CHST2;ALDOC;CTGF;CXCR4;MAFF;ADORA2B;COL5A1;CYR61;B3GALT6;KDELR3;NDRG1;SLC37A4;MIF;PDK1;LDHC;PHKG1;BCAN;TKTL1;PCK1;EDN2,CA12;TGM2;CHST2;ALDOC;CTGF;CXCR4;MAFF;ADORA2B;COL5A1;CYR61;B3GALT6;KDELR3;NDRG1;SLC37A4;MIF
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.2999399395543916,-0.6853455894642015,0.5,1.0,200,10,CA12;TGM2;NPY1R;GJA1;HES1;DHCR7;GAB2;SYT12;CD44;EGR3,EGR3
