Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5777909855712975,2.5760037637580218,0.0,0.0,200,21,HES1;CYR61;FJX1;DUSP4;SAT1;IL15RA;FOSB;CCL20;EGR3;CXCL2;JUNB;IFIH1;SLC2A6;ICAM1;LAMB3;DUSP5;CD44;MAFF;CLCF1;PLK2;LIF,HES1;CYR61;FJX1;DUSP4;SAT1;IL15RA;FOSB;CCL20;EGR3;CXCL2;JUNB;IFIH1;SLC2A6;ICAM1;LAMB3;DUSP5;CD44
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4493974882749623,1.9960217027148335,0.00411522633744856,0.02485052316890882,200,22,FZD8;CYR61;GAS1;SAT1;GJA1;COL5A1;FN1;CTGF;CRLF1;SPARC;LAMA1;DKK1;LUM;SFRP1;CD44;TGM2;COL3A1;GLIPR1;ANPEP;ECM1;ACTA2;FAS,FZD8;CYR61;GAS1;SAT1;GJA1;COL5A1;FN1;CTGF;CRLF1;SPARC;LAMA1;DKK1;LUM;SFRP1
HALLMARK_GLYCOLYSIS,0.5356917564683873,1.8736212862325838,0.017361111111111112,0.026158445440956652,200,12,CYB5A;COL5A1;KDELR3;MIF;ADORA2B;CHST2;SLC37A4;B3GALT6;CD44;CXCR4;TKTL1;LDHC,CYB5A;COL5A1;KDELR3;MIF;ADORA2B;CHST2;SLC37A4;B3GALT6
HALLMARK_HYPOXIA,0.39288589028662,1.7483098289174015,0.010050251256281407,0.02877428998505232,200,22,CYR61;NDRG1;COL5A1;KDELR3;MIF;ADORA2B;CHST2;SLC37A4;CTGF;B3GALT6;CA12;PCK1;ALDOC;TGM2;MAFF;CXCR4;TKTL1;PDK1;PHKG1;EDN2;BCAN;LDHC,CYR61;NDRG1;COL5A1;KDELR3;MIF;ADORA2B;CHST2;SLC37A4;CTGF;B3GALT6
HALLMARK_P53_PATHWAY,-0.5082198577939773,-1.5410902203959265,0.0440771349862259,0.1413162206444566,200,14,NDRG1;SAT1;PROCR;VDR;ZBTB16;PLK2;PLK3;GLS2;SESN1;LIF;RPS27L;NHLH2;FAS;TRAFD1,SESN1;LIF;RPS27L;NHLH2;FAS;TRAFD1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.4274271112081982,1.4009436748558133,0.11564625850340136,0.14596412556053812,200,10,HES1;DHCR7;GJA1;NPY1R;EGR3;CD44;CA12;TGM2;SYT12;GAB2,HES1;DHCR7;GJA1;NPY1R;EGR3
HALLMARK_COMPLEMENT,0.3709931559597037,1.2838475785931949,0.15644171779141106,0.19226457399103142,200,11,CA2;FN1;HSPA1A;CDA;CSRP1;DUSP5;APOC1;MAFF;F8;ITIH1;USP15,CA2;FN1;HSPA1A;CDA;CSRP1;DUSP5;APOC1
HALLMARK_IL2_STAT5_SIGNALING,0.3582948303835565,1.2100224433018545,0.2119205298013245,0.2156203288490284,200,10,CA2;NDRG1;ETV4;IL18R1;CD44;TGM2;MAFF;CAPN3;ECM1;LIF,CA2;NDRG1;ETV4
HALLMARK_KRAS_SIGNALING_DN,-0.3552140530935561,-1.0494446154778652,0.407202216066482,0.622200983069361,200,12,CHST2;SNCB;COL2A1;ZBTB16;EDN2;C5;CYP39A1;SKIL;RIBC2;FGGY;PAX3;GPR19,EDN2;C5;CYP39A1;SKIL;RIBC2;FGGY;PAX3;GPR19
HALLMARK_KRAS_SIGNALING_UP,-0.2330900614169607,-0.747316069626837,0.7797062750333779,0.7833151283451666,200,16,CA2;ETV4;CCL20;GUCY1A3;TMEM158;MMP11;ETV5;IGF2;PCSK1N;CXCR4;LCP1;LAT2;RBM4;SNAP91;LIF;KCNN4,RBM4;SNAP91;LIF;KCNN4
